CD_REFNIS,TX_DESCR_NL,TX_DESCR_FR,CD_DSTR_REFNIS,TX_ADM_DSTR_DESCR_NL,TX_ADM_DSTR_DESCR_FR,CD_PROV_REFNIS,TX_PROV_DESCR_NL,TX_PROV_DESCR_FR,CD_RGN_REFNIS,TX_RGN_DESCR_NL,TX_RGN_DESCR_FR
11001,Aartselaar,Aartselaar,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11002,Antwerpen,Anvers,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11004,Boechout,Boechout,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11005,Boom,Boom,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11007,Borsbeek,Borsbeek,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11008,Brasschaat,Brasschaat,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11009,Brecht,Brecht,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11013,Edegem,Edegem,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11016,Essen,Essen,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11018,Hemiksem,Hemiksem,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11021,Hove,Hove,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11022,Kalmthout,Kalmthout,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11023,Kapellen,Kapellen,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11024,Kontich,Kontich,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11025,Lint,Lint,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11029,Mortsel,Mortsel,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11030,Niel,Niel,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11035,Ranst,Ranst,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11037,Rumst,Rumst,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11038,Schelle,Schelle,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11039,Schilde,Schilde,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11040,Schoten,Schoten,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11044,Stabroek,Stabroek,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11050,Wijnegem,Wijnegem,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11052,Wommelgem,Wommelgem,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11053,Wuustwezel,Wuustwezel,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11054,Zandhoven,Zandhoven,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11055,Zoersel,Zoersel,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11056,Zwijndrecht,Zwijndrecht,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
11057,Malle,Malle,11000,Arrondissement Antwerpen,Arrondissement d’Anvers,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12002,Berlaar,Berlaar,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12005,Bonheiden,Bonheiden,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12007,Bornem,Bornem,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12009,Duffel,Duffel,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12014,Heist-op-den-Berg,Heist-op-den-Berg,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12021,Lier,Lierre,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12025,Mechelen,Malines,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12026,Nijlen,Nijlen,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12029,Putte,Putte,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12040,Willebroek,Willebroek,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
12041,Puurs-Sint-Amands,Puurs-Sint-Amands,12000,Arrondissement Mechelen,Arrondissement de Malines,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
13001,Arendonk,Arendonk,13000,Arrondissement Turnhout,Arrondissement de Turnhout,10000,Provincie Antwerpen,Province d’Anvers,02000,Vlaams Gewest,Région flamande
